ticker_original,ticker_yfinance,nome,setor,subsetor,fonte,data_coleta,status_validacao
ABEV3,ABEV3.SA,AMBEV S/A,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ALOS3,ALOS3.SA,ALLOS,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ASAI3,ASAI3.SA,ASSAI,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
AURE3,AURE3.SA,AUREN,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
AXIA3,AXIA3.SA,AXIA ENERGIA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
AZZA3,AZZA3.SA,AZZAS 2154,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
B3SA3,B3SA3.SA,B3,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BBAS3,BBAS3.SA,BRASIL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BBDC3,BBDC3.SA,BRADESCO,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BBDC4,BBDC4.SA,BRADESCO,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BBSE3,BBSE3.SA,BBSEGURIDADE,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BEEF3,BEEF3.SA,MINERVA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BPAC11,BPAC11.SA,BTGP BANCO,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BRAP4,BRAP4.SA,BRADESPAR,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BRAV3,BRAV3.SA,BRAVA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
BRKM5,BRKM5.SA,BRASKEM,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CEAB3,CEAB3.SA,CEA MODAS,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CMIG4,CMIG4.SA,CEMIG,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CMIN3,CMIN3.SA,CSNMINERACAO,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
COGN3,COGN3.SA,COGNA ON,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CPFE3,CPFE3.SA,CPFL ENERGIA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CPLE3,CPLE3.SA,COPEL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CSAN3,CSAN3.SA,COSAN,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CSMG3,CSMG3.SA,COPASA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CSNA3,CSNA3.SA,SID NACIONAL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CURY3,CURY3.SA,CURY S/A,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CXSE3,CXSE3.SA,CAIXA SEGURI,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
CYRE3,CYRE3.SA,CYRELA REALT,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
DIRR3,DIRR3.SA,DIRECIONAL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
EGIE3,EGIE3.SA,ENGIE BRASIL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
EMBJ3,EMBJ3.SA,EMBRAER,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ENEV3,ENEV3.SA,ENEVA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ENGI11,ENGI11.SA,ENERGISA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
EQTL3,EQTL3.SA,EQUATORIAL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
FLRY3,FLRY3.SA,FLEURY,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
GGBR4,GGBR4.SA,GERDAU,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
GOAU4,GOAU4.SA,GERDAU MET,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
HAPV3,HAPV3.SA,HAPVIDA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
HYPE3,HYPE3.SA,HYPERA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
IGTI11,IGTI11.SA,IGUATEMI S.A,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ISAE4,ISAE4.SA,ISA ENERGIA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ITSA4,ITSA4.SA,ITAUSA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
ITUB4,ITUB4.SA,ITAUUNIBANCO,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
KLBN11,KLBN11.SA,KLABIN S/A,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
