Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA
Date,,,,,,
2021-08-02,51.510772705078125,60.88328170776367,62.61512756347656,60.88328170776367,62.117469787597656,6469725
2021-08-03,51.46025085449219,60.82356262207031,61.072391510009766,58.76326370239258,60.86337661743164,7167395
2021-08-04,49.81817626953125,58.8827018737793,60.584686279296875,58.584110260009766,60.33586120605469,8572983
2021-08-05,49.26239013671875,58.22579574584961,59.49979782104492,57.43949890136719,59.49979782104492,12200285
2021-08-06,49.05186462402344,57.976966857910156,58.922515869140625,57.52907943725586,58.53434371948242,6244167
2021-08-09,49.34659957885742,58.3253288269043,59.1613883972168,57.57884216308594,57.92720413208008,6211615
2021-08-10,48.361351013183594,57.16081237792969,58.6935920715332,56.84231185913086,58.47462463378906,5386447
2021-08-11,48.327667236328125,57.12099838256836,57.6385612487793,56.0958251953125,56.81245040893555,8721580
2021-08-12,48.900291442871094,57.797813415527344,58.61396789550781,56.05601501464844,56.33470153808594,9724581
2021-08-13,48.37820053100586,57.18071746826172,58.036685943603516,56.46409225463867,58.036685943603516,6914409
2021-08-16,47.241371154785156,55.8370475769043,57.190670013427734,55.259765625,57.051326751708984,7247068
2021-08-17,45.978233337402344,54.344078063964844,55.817138671875,52.68190383911133,55.667842864990234,11231243
2021-08-18,46.49191665649414,54.95121765136719,55.91667175292969,53.16960906982422,54.26445388793945,8937893
2021-08-19,48.9592399597168,57.86748504638672,58.295467376708984,53.9957160949707,54.65262222290039,7891388
2021-08-20,49.456077575683594,58.45471954345703,59.07181167602539,56.026153564453125,56.732826232910156,8106195
2021-08-23,47.51926040649414,56.16550064086914,58.942420959472656,55.87685775756836,58.942420959472656,7284343
2021-08-24,48.041343688964844,56.7825927734375,57.270294189453125,56.12568664550781,56.95179748535156,5345555
2021-08-25,48.445556640625,57.26034164428711,57.26034164428711,55.49863815307617,56.7825927734375,4088162
2021-08-26,47.123470306396484,55.69770050048828,57.280250549316406,55.56830978393555,57.210575103759766,4638943
2021-08-27,49.09397506713867,58.0267333984375,58.20589065551758,55.84700012207031,56.15554428100586,6856940
2021-08-30,47.78872299194336,56.4839973449707,57.62860870361328,56.21526336669922,57.459407806396484,2796407
2021-08-31,46.70243453979492,55.20004653930664,56.62334442138672,54.582950592041016,56.52381134033203,7977693
2021-09-01,46.28981399536133,54.71234130859375,56.24512481689453,54.49337387084961,56.24512481689453,6841166
2021-09-02,45.658241271972656,53.965858459472656,54.6824836730957,53.0501708984375,54.6824836730957,5689266
2021-09-03,46.13822937011719,54.53318786621094,54.63271713256836,53.35871887207031,54.63271713256836,5334102
2021-09-06,46.67716598510742,55.17018508911133,55.49863815307617,53.80660629272461,54.12510681152344,2200614
2021-09-08,50.42447280883789,59.599327087402344,62.50564193725586,58.12626647949219,61.2017822265625,24164163
2021-09-09,50.525535583496094,59.71876525878906,59.89792251586914,56.07592010498047,59.51970291137695,12655318
2021-09-10,48.22661590576172,57.00156021118164,60.41548538208008,55.866905212402344,59.71876525878906,9804254
2021-09-13,49.68343734741211,58.723453521728516,60.106937408447266,57.60870361328125,58.176029205322266,6060306
2021-09-14,48.84134292602539,57.72814178466797,59.002140045166016,57.698280334472656,58.54429626464844,3093700
2021-09-15,48.33609390258789,57.130950927734375,57.82767105102539,55.87685775756836,57.678375244140625,4858171
2021-09-16,48.19293212890625,56.96175003051758,57.65846633911133,56.145591735839844,56.693016052246094,3311320
2021-09-17,47.94873046875,56.6731071472168,57.32006072998047,55.389156341552734,56.732826232910156,7474635
2021-09-20,46.685585021972656,55.180137634277344,56.294891357421875,53.69712448120117,55.93657684326172,5258648
2021-09-21,48.07504653930664,56.82240676879883,57.419593811035156,54.8715934753418,55.588218688964844,6148921
2021-09-22,48.605567932128906,57.4494514465332,57.976966857910156,56.04606246948242,57.22053146362305,3666988
2021-09-23,48.9255485534668,57.82767105102539,58.096405029296875,57.061279296875,57.62860870361328,2934153
2021-09-24,47.87294387817383,56.58353042602539,57.04137420654297,55.190093994140625,56.81245040893555,6263759
2021-09-27,47.67083740234375,56.34465408325195,57.210575103759766,55.39910888671875,56.26502990722656,3937355
2021-09-28,46.769798278808594,55.27967071533203,55.90671920776367,53.9061393737793,55.767372131347656,7257819
2021-09-29,46.10454559326172,54.49337387084961,55.628028869628906,53.64735794067383,55.628028869628906,4476884
2021-09-30,45.960235595703125,54.21468734741211,54.97112274169922,53.44829559326172,54.244544982910156,9980882
2021-10-01,47.082454681396484,55.5384521484375,55.65789031982422,53.945953369140625,54.31421661376953,4129455
2021-10-04,44.804283142089844,52.85110855102539,54.94126510620117,52.05485534667969,54.861637115478516,4781512
2021-10-05,45.09959030151367,53.199466705322266,53.83646774291992,52.16434097290039,52.67195129394531,4550328
2021-10-06,45.27678298950195,53.40848159790039,53.76679611206055,51.68659210205078,52.87101364135742,7411539
2021-10-07,44.542701721191406,52.54256057739258,54.025577545166016,52.54256057739258,52.9406852722168,6368349
2021-10-08,46.44961929321289,54.79196548461914,55.28962326049805,52.90087127685547,53.139747619628906,8863344
2021-10-11,46.12055206298828,54.40379333496094,56.026153564453125,53.89618682861328,54.782012939453125,5763514
2021-10-13,46.86307144165039,55.27967071533203,55.588218688964844,54.31421661376953,54.63271713256836,6447621
2021-10-14,46.879947662353516,55.29957580566406,55.8370475769043,54.65262222290039,55.14032745361328,3131076
2021-10-15,47.78279113769531,56.36456298828125,56.80249786376953,55.1502799987793,55.41901397705078,5668770
2021-10-18,47.4621467590332,55.98634338378906,56.513858795166016,54.71234130859375,55.55835723876953,4700231
2021-10-19,45.20084762573242,53.318904876708984,54.981075286865234,52.45298385620117,54.841732025146484,6725323
2021-10-20,43.74110794067383,51.59701156616211,53.77674865722656,51.45766830444336,53.77674865722656,9150691
2021-10-21,41.69075393676758,49.178401947021484,51.00978088378906,48.700653076171875,50.24338912963867,9008324
2021-10-22,40.37446594238281,47.62571334838867,48.760372161865234,46.22232437133789,48.38215255737305,10824838
2021-10-25,40.91447830200195,48.26271438598633,49.188358306884766,47.52618408203125,47.90440368652344,4526215
2021-10-26,38.391605377197266,45.2867317199707,48.073604583740234,44.83884048461914,47.735198974609375,10452593
2021-10-27,39.117252349853516,46.1427001953125,46.779701232910156,45.087669372558594,45.535560607910156,9589749
2021-10-28,38.771297454833984,45.734619140625,47.32712173461914,45.525604248046875,46.05311965942383,7549084
2021-10-29,38.22285842895508,45.087669372558594,46.192466735839844,44.689544677734375,45.97349548339844,8828179
2021-11-01,38.459102630615234,45.366355895996094,46.092933654785156,44.99808883666992,45.57537078857422,4778799
2021-11-03,40.75416564941406,48.073604583740234,48.73051452636719,45.167293548583984,45.266822814941406,11927707
2021-11-04,40.720420837402344,48.03379440307617,49.55662155151367,47.34702682495117,48.32243347167969,6619527
2021-11-05,42.264522552490234,49.85521697998047,50.342918395996094,48.40205764770508,48.57126235961914,7885561
2021-11-08,40.91447830200195,48.26271438598633,49.506858825683594,47.9641227722168,49.47699737548828,5807320
2021-11-09,41.8510627746582,49.36751174926758,50.143856048583984,48.302528381347656,48.561309814453125,6447922
2021-11-10,42.6104621887207,50.2632942199707,51.31832504272461,48.32243347167969,49.28788757324219,12138495
2021-11-11,44.82114791870117,52.87101364135742,54.91140365600586,50.691280364990234,50.850528717041016,12992900
2021-11-12,43.572364807128906,51.39794921875,53.58763885498047,51.07945251464844,52.81129455566406,5331188
2021-11-16,42.93952560424805,50.651466369628906,52.20415496826172,50.283199310302734,51.74631118774414,5114573
2021-11-17,43.46267318725586,51.268558502197266,51.875701904296875,50.01446533203125,51.328277587890625,5528714
2021-11-18,44.399253845214844,52.373355865478516,53.279090881347656,51.169029235839844,51.63682556152344,6175244
2021-11-19,45.41178512573242,53.56773376464844,54.1848258972168,52.14443588256836,52.512699127197266,7073454
2021-11-22,44.53425979614258,52.53260803222656,54.59290313720703,51.7861213684082,53.72698211669922,5830328
2021-11-23,45.13335037231445,53.239280700683594,53.239280700683594,51.46762466430664,52.701812744140625,5335006
2021-11-24,44.610198974609375,52.62218475341797,53.64735794067383,51.77616882324219,52.721717834472656,5147125
2021-11-25,45.65647506713867,53.85637283325195,54.244544982910156,52.771480560302734,53.060123443603516,4139904
2021-11-26,44.17987823486328,52.11457443237305,52.87101364135742,51.1391716003418,52.65204620361328,5082522
2021-11-29,44.087074279785156,52.00509262084961,53.000404357910156,51.68659210205078,52.99045181274414,6516544
2021-11-30,43.12516403198242,50.87043380737305,51.8060302734375,49.43718338012695,51.64677810668945,9305617
2021-12-01,42.53453063964844,50.1737174987793,52.015045166015625,49.944793701171875,51.268558502197266,9152098
2021-12-02,45.32740020751953,53.46820068359375,53.46820068359375,51.01973342895508,51.46762466430664,11154885
2021-12-03,46.289306640625,54.60285949707031,56.712921142578125,53.75684356689453,53.75684356689453,10287218
2021-12-06,46.2133674621582,54.51327896118164,56.006248474121094,54.085296630859375,55.6479377746582,7665228
2021-12-07,45.47085189819336,53.63740539550781,55.329437255859375,52.76152801513672,55.22990417480469,6694277
2021-12-08,47.22589111328125,55.70765686035156,55.78728103637695,52.81129455566406,53.68716812133789,7415960
2021-12-09,46.60993957519531,54.981075286865234,55.99629592895508,54.05543518066406,55.389156341552734,8470905
2021-12-10,47.84185028076172,56.434234619140625,58.016780853271484,55.49863815307617,55.93657684326172,7816738
2021-12-13,48.2890510559082,56.96175003051758,58.42485809326172,55.71760940551758,56.82240676879883,7368538
2021-12-14,48.5084228515625,57.22053146362305,58.20589065551758,56.8920783996582,57.9172477722168,5121505
2021-12-15,50.027217864990234,59.01209259033203,60.89323425292969,56.74277877807617,57.479312896728516,23962015
2021-12-16,50.39847946166992,59.45003128051758,60.97285842895508,57.90729522705078,59.599327087402344,11720436
2021-12-17,47.89247131347656,56.493953704833984,58.982234954833984,55.43892288208008,58.584110260009766,20250217
2021-12-20,47.35874938964844,55.73751449584961,56.12568664550781,53.74688720703125,55.488685607910156,9333146
2021-12-21,47.274169921875,55.63798141479492,55.767372131347656,54.075340270996094,55.67779541015625,5402824
2021-12-22,47.05430603027344,55.37920379638672,56.01620101928711,54.762107849121094,55.61807632446289,2818912
2021-12-23,46.30162811279297,54.49337387084961,55.59817123413086,53.15965270996094,55.59817123413086,4490749
2021-12-27,46.55533981323242,54.79196548461914,55.409061431884766,54.2943115234375,54.563045501708984,3030504
2021-12-28,45.28680419921875,53.29899978637695,55.070655822753906,52.84115219116211,54.72229766845703,5983747
2021-12-29,44.060550689697266,51.855796813964844,53.4383430480957,51.36809158325195,53.4383430480957,11057629
2021-12-30,44.82168197631836,52.7515754699707,52.88096618652344,51.36809158325195,51.995140075683594,14287368
2022-01-03,43.03726577758789,50.651466369628906,53.20941925048828,50.24338912963867,52.721717834472656,7283640
2022-01-04,43.28251647949219,50.94010543823242,51.17898178100586,49.805450439453125,50.60169982910156,6341122
2022-01-05,42.0308952331543,49.467044830322266,51.60696792602539,48.98929214477539,50.631561279296875,10186948
2022-01-06,42.19158172607422,49.65615463256836,50.342918395996094,48.720558166503906,49.546669006347656,6824588
2022-01-07,41.83638000488281,49.238121032714844,50.49221420288086,48.75041961669922,49.56657409667969,5104626
2022-01-10,41.01606369018555,48.27267074584961,48.71060562133789,46.95885467529297,48.47172927856445,4742529
2022-01-11,41.608055114746094,48.96938705444336,49.546669006347656,47.7750129699707,47.86458969116211,6882962
2022-01-12,41.96323776245117,49.387420654296875,49.596435546875,48.49163818359375,48.94948196411133,8948543
2022-01-13,41.81947326660156,49.21821594238281,49.49690246582031,48.04374694824219,49.04901123046875,4443829
2022-01-14,43.35862731933594,51.029685974121094,51.129215240478516,48.79022979736328,49.0191535949707,7340104
2022-01-17,42.690528869628906,50.24338912963867,50.8206672668457,49.56657409667969,50.47230911254883,4266699
2022-01-18,42.03934860229492,49.47699737548828,49.93484115600586,48.04374694824219,49.885074615478516,5618937
2022-01-19,42.157745361328125,49.61634063720703,51.09935760498047,49.30779266357422,49.83531188964844,5482095
2022-01-20,45.77730178833008,53.87628173828125,55.329437255859375,49.70591735839844,49.944793701171875,20865802
2022-01-21,46.428497314453125,54.642669677734375,54.782012939453125,52.572418212890625,53.54782485961914,8917196
2022-01-24,45.34600830078125,53.36867141723633,54.563045501708984,52.861061096191406,54.563045501708984,5801191
2022-01-25,47.14732360839844,55.488685607910156,56.16550064086914,52.96059036254883,53.179561614990234,8803865
2022-01-26,48.94865417480469,57.60870361328125,59.221107482910156,56.732826232910156,56.732826232910156,15711342
2022-01-27,48.855621337890625,57.49921798706055,58.902610778808594,57.399688720703125,58.42485809326172,6975596
2022-01-28,48.57654571533203,57.1707649230957,57.78786087036133,55.73751449584961,56.95179748535156,4728362
2022-01-31,49.55755615234375,58.3253288269043,58.82298278808594,56.991607666015625,57.0811882019043,6668356
2022-02-01,49.61674880981445,58.39500045776367,59.11162567138672,57.52907943725586,58.38504409790039,5008174
2022-02-02,49.43915939331055,58.18598556518555,59.221107482910156,56.96175003051758,58.434810638427734,6063119
2022-02-03,48.62728500366211,57.23048400878906,59.46993637084961,56.852264404296875,58.57415771484375,6211414
2022-02-04,48.3905029296875,56.95179748535156,57.479312896728516,55.01093673706055,57.24043655395508,5866698
2022-02-07,47.105045318603516,55.43892288208008,57.539031982421875,55.14032745361328,56.314796447753906,5613210
2022-02-08,47.45177459716797,55.84700012207031,56.26502990722656,54.204734802246094,54.74220275878906,3744752
2022-02-09,47.98455810546875,56.47404479980469,57.76795196533203,56.175453186035156,56.38446807861328,3191459
2022-02-10,48.11142349243164,56.62334442138672,57.24043655395508,55.99629592895508,56.64324951171875,4216463
2022-02-11,48.500431060791016,57.0811882019043,58.1362190246582,56.294891357421875,56.732826232910156,6745517
2022-02-14,49.574459075927734,58.34523391723633,59.31068801879883,57.01151657104492,57.48926544189453,6728940
2022-02-15,51.240474700927734,60.305999755859375,60.76384353637695,58.63387680053711,59.221107482910156,6229499
