Teste 16 - Diagnostico de Regime com Camada Risk-On/Risk-Off
Modo sombra; producao intacta; compara 13B contra beta mediano, MM50/MM100 e confirmacoes hibridas.
Sinais risk-on/risk-off por mes:
  2024-01: IBOV=-3.73% | beta_med=1.0378 => risk_off | pct_MM50>MM100=63.16% => risk_on
  2024-02: IBOV=0.42% | beta_med=1.0630 => risk_off | pct_MM50>MM100=69.74% => risk_off
  2024-03: IBOV=-0.83% | beta_med=0.9980 => risk_off | pct_MM50>MM100=71.43% => risk_off
  2024-04: IBOV=-0.84% | beta_med=0.9663 => risk_off | pct_MM50>MM100=74.03% => risk_off
  2024-05: IBOV=-3.95% | beta_med=1.0565 => risk_off | pct_MM50>MM100=75.32% => risk_off
  2024-06: IBOV=1.54% | beta_med=1.1290 => risk_on | pct_MM50>MM100=74.03% => risk_off
  2024-07: IBOV=2.35% | beta_med=1.1345 => risk_on | pct_MM50>MM100=71.43% => risk_off
  2024-08: IBOV=6.76% | beta_med=1.1701 => risk_on | pct_MM50>MM100=67.53% => risk_on
  2024-09: IBOV=-2.34% | beta_med=1.0399 => risk_off | pct_MM50>MM100=70.13% => risk_off
  2024-10: IBOV=-2.10% | beta_med=1.0902 => risk_on | pct_MM50>MM100=71.43% => risk_off
  2024-11: IBOV=-1.91% | beta_med=1.0531 => risk_off | pct_MM50>MM100=70.13% => risk_off
  2024-12: IBOV=-3.95% | beta_med=1.1284 => risk_on | pct_MM50>MM100=68.83% => risk_off
  2025-01: IBOV=5.00% | beta_med=1.1661 => risk_on | pct_MM50>MM100=59.74% => risk_on
  2025-02: IBOV=-2.52% | beta_med=1.2420 => risk_on | pct_MM50>MM100=51.95% => risk_on
  2025-03: IBOV=5.86% | beta_med=1.2398 => risk_on | pct_MM50>MM100=45.45% => risk_on
  2025-04: IBOV=2.99% | beta_med=1.1930 => risk_on | pct_MM50>MM100=42.86% => risk_on
  2025-05: IBOV=1.40% | beta_med=1.0969 => risk_on | pct_MM50>MM100=40.26% => risk_on
  2025-06: IBOV=1.51% | beta_med=1.0819 => risk_on | pct_MM50>MM100=50.65% => risk_on
  2025-07: IBOV=-4.64% | beta_med=1.0713 => risk_off | pct_MM50>MM100=53.25% => risk_on
  2025-08: IBOV=6.78% | beta_med=1.0533 => risk_off | pct_MM50>MM100=53.25% => risk_on
