Teste 42 - Falso Alerta de Queda com Janela 4M
Regra: comparar detectores que usam 4M apenas quando a queda prevista parece falso alerta/rotacao de qualidade.
Arquivo gerado: C:\Users\amade\Documents\Codex\2026-06-26\https-chatgpt-com-c-687d279e-28e0\carteira_mensal\output\excel\shadow_teste42_falso_alerta_queda_4m.xlsx

Resumo geral:
                 cenario_t42  retorno_modelo  retorno_ibov  alfa_vs_ibov  taxa_acerto  drawdown  meses_usou_4m  delta_alfa_vs_base
                   BASE_T36C        1.180069      0.603587      0.576482     0.703704 -0.132509              0            0.000000
  T39_4M_TODA_QUEDA_PREVISTA        1.219121      0.603587      0.615534     0.722222 -0.132509             22            0.039052
        T42A_QUALIDADE_FORTE        1.292092      0.603587      0.688506     0.740741 -0.132509             16            0.112023
        T42B_QUALIDADE_MEDIA        1.245773      0.603587      0.642186     0.722222 -0.132509             17            0.065704
   T42C_QUEDA_LEVE_QUALIDADE        1.193028      0.603587      0.589441     0.703704 -0.132509             13            0.012959
T42D_FALSO_ALERTA_BALANCEADO        1.229214      0.603587      0.625628     0.722222 -0.132509             18            0.049145

Resumo por ano:
                 cenario_t42  ano  retorno_modelo  retorno_ibov  alfa_vs_ibov  taxa_acerto  meses_usou_4m  delta_alfa_vs_base
                   BASE_T36C 2022       -0.033207     -0.019433     -0.013774     0.583333              0            0.000000
                   BASE_T36C 2023        0.400535      0.246273      0.154262     0.750000              0            0.000000
                   BASE_T36C 2024        0.018117     -0.087559      0.105677     0.833333              0            0.000000
                   BASE_T36C 2025        0.378511      0.337827      0.040684     0.583333              0            0.000000
                   BASE_T36C 2026        0.147188      0.074973      0.072216     0.833333              0            0.000000
  T39_4M_TODA_QUEDA_PREVISTA 2022       -0.035651     -0.019433     -0.016218     0.666667              3           -0.002444
  T39_4M_TODA_QUEDA_PREVISTA 2023        0.403548      0.246273      0.157275     0.750000              5            0.003013
  T39_4M_TODA_QUEDA_PREVISTA 2024        0.041467     -0.087559      0.129026     0.833333             10            0.023350
  T39_4M_TODA_QUEDA_PREVISTA 2025        0.378511      0.337827      0.040684     0.583333              0            0.000000
  T39_4M_TODA_QUEDA_PREVISTA 2026        0.141994      0.074973      0.067021     0.833333              4           -0.005194
        T42A_QUALIDADE_FORTE 2022       -0.035651     -0.019433     -0.016218     0.666667              3           -0.002444
        T42A_QUALIDADE_FORTE 2023        0.443136      0.246273      0.196864     0.833333              3            0.042602
        T42A_QUALIDADE_FORTE 2024        0.041467     -0.087559      0.129026     0.833333             10            0.023350
        T42A_QUALIDADE_FORTE 2025        0.378511      0.337827      0.040684     0.583333              0            0.000000
        T42A_QUALIDADE_FORTE 2026        0.147188      0.074973      0.072216     0.833333              0            0.000000
        T42B_QUALIDADE_MEDIA 2022       -0.035651     -0.019433     -0.016218     0.666667              3           -0.002444
        T42B_QUALIDADE_MEDIA 2023        0.413973      0.246273      0.167701     0.750000              4            0.013439
        T42B_QUALIDADE_MEDIA 2024        0.041467     -0.087559      0.129026     0.833333             10            0.023350
        T42B_QUALIDADE_MEDIA 2025        0.378511      0.337827      0.040684     0.583333              0            0.000000
        T42B_QUALIDADE_MEDIA 2026        0.147188      0.074973      0.072216     0.833333              0            0.000000
   T42C_QUEDA_LEVE_QUALIDADE 2022       -0.053744     -0.019433     -0.034311     0.583333              2           -0.020537
   T42C_QUEDA_LEVE_QUALIDADE 2023        0.413973      0.246273      0.167701     0.750000              4            0.013439
   T42C_QUEDA_LEVE_QUALIDADE 2024        0.036452     -0.087559      0.124011     0.833333              7            0.018335
   T42C_QUEDA_LEVE_QUALIDADE 2025        0.378511      0.337827      0.040684     0.583333              0            0.000000
   T42C_QUEDA_LEVE_QUALIDADE 2026        0.147188      0.074973      0.072216     0.833333              0            0.000000
T42D_FALSO_ALERTA_BALANCEADO 2022       -0.035651     -0.019433     -0.016218     0.666667              3           -0.002444
T42D_FALSO_ALERTA_BALANCEADO 2023        0.403548      0.246273      0.157275     0.750000              5            0.003013
T42D_FALSO_ALERTA_BALANCEADO 2024        0.041467     -0.087559      0.129026     0.833333             10            0.023350
T42D_FALSO_ALERTA_BALANCEADO 2025        0.378511      0.337827      0.040684     0.583333              0            0.000000
T42D_FALSO_ALERTA_BALANCEADO 2026        0.147188      0.074973      0.072216     0.833333              0            0.000000

Meses em que cada detector acionou 4M:
                 cenario_t42     mes regime_previsto_norm tipo_regime_expost  retorno_total  retorno_expost_ibov  alfa_vs_ibov                                                                 motivo_acionamento_4m
  T39_4M_TODA_QUEDA_PREVISTA 2022-01           queda_leve               alta       0.022784             0.081465     -0.058681                                                                    t39_queda_prevista
  T39_4M_TODA_QUEDA_PREVISTA 2022-07           queda_leve               alta       0.042577             0.042555      0.000022                                                                    t39_queda_prevista
